file,template_id,name,family,cwe_matches,confidence_score
http/exposures/configs/golangci-config.yaml,golangci-config,GolangCI-Lint Configuration File - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/gruntfile-exposure.yaml,gruntfile-exposure,Gruntfile Config - Detect,exposure,CWE-219;CWE-538;CWE-552,7
http/exposures/configs/guard-config.yaml,guard-config,Guardfile Config - Detect,exposure,CWE-219;CWE-552,7
http/exposures/configs/hikvision-info-leak.yaml,hikvision-info-leak,Hikvision Configuration File - Detect,exposure,CWE-219;CWE-260,7
http/exposures/configs/httpd-config.yaml,httpd-config,Apache httpd Config File - Detect,exposure,CWE-219;CWE-538,7
http/exposures/configs/jakefile-disclosure.yaml,jakefile-disclosure,Jakefile Build Configuration - Disclosure,exposure,CWE-219;CWE-260;CWE-538,7
http/exposures/configs/javascript-env-config.yaml,javascript-env-config,JavaScript Environment Configuration - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/jsconfig-json.yaml,jsconfig-json,Visual Studio Code jsconfig.json - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/karma-config-js.yaml,karma-config-js,Karma Configuration File - Detect,exposure,CWE-219;CWE-538,7
http/exposures/configs/kubernetes-kustomization-disclosure.yaml,kubernetes-kustomization-disclosure,Kubernetes Kustomize Configuration - Detect,exposure,CWE-219;CWE-552,7
http/exposures/configs/kyan-credential-exposure.yaml,kyan-credential-exposure,Kyan Credential - Exposure,exposure,CWE-219;CWE-312,7
http/exposures/configs/laravel-env.yaml,laravel-env,Laravel - Sensitive Information Disclosure,exposure,CWE-200;CWE-219;CWE-260;CWE-522;CWE-552,7
http/exposures/configs/magento-config-disclosure.yaml,magento-config-disclosure,Magento Configuration Panel - Detect,exposure,CWE-219;CWE-260;CWE-538,7
http/exposures/configs/makefile-exposure.yaml,makefile-exposure,Makefile - Exposure,exposure,CWE-219;CWE-538,7
http/exposures/configs/mercurial-hgignore.yaml,mercurial-hgignore,Mercurial Ignore - File Disclosure,exposure,CWE-219;CWE-552,7
http/exposures/configs/msmtp-config.yaml,msmtp-config,Msmtp - Config Exposure,exposure,CWE-219;CWE-260,7
http/exposures/configs/mysql-config-exposure.yaml,mysql-config-exposure,MySQL Conifg - Exposure,exposure,CWE-219;CWE-260;CWE-552,7
http/exposures/configs/neo4j-neodash-config.yaml,neo4j-neodash-config,Neo4j Neodash Config - Exposure,exposure,CWE-219;CWE-260;CWE-538,7
http/exposures/configs/netbeans-config.yaml,netbeans-config,Netbeans Config - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/netlify-headers-config-exposure.yaml,netlify-headers-config-exposure,Netlify Headers Configuration - Exporsure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/netrc.yaml,netrc,Netrc - Config File Discovery,exposure,CWE-260;CWE-312;CWE-552,7
http/exposures/configs/nginx-config.yaml,nginx-config,Nginx Config - Detect,exposure,CWE-219;CWE-552,7
http/exposures/configs/node-repl-history-disclosure.yaml,node-repl-history-disclosure,Node.js REPL History Disclosure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/oracle-ebs-credentials.yaml,oracle-ebs-credentials,Oracle E-Business System Credentials Page - Detect,exposure,CWE-219;CWE-260;CWE-538,7
http/exposures/configs/ovhcloud-backup-config.yaml,ovhcloud-backup-config,OVHcloud Backup Configuration - Exposure,exposure,CWE-219;CWE-260;CWE-312,7
http/exposures/configs/ovpn-config-exposed.yaml,ovpn-config-exposed,OVPN Configuration Download Page - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/owncloud-config.yaml,owncloud-config,owncloud Config - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/package-json.yaml,package-json,NPM package.json Disclosure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/phinx-config.yaml,phinx-config,Phinx Configuration Exposure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/php-fpm-config.yaml,php-fpm-config,PHP-FPM Configuration Page - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/phpci-yml.yaml,phpci-yml,"PHPCI Configuration Exposure ""phpci.yml"" Exposure",exposure,CWE-219;CWE-538,7
http/exposures/configs/phpcs-config.yaml,phpcs-config,PHP_CodeSniffer Configuration Exposure - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/phpsec-config.yaml,phpsec-config,phpspec Config - Detect,exposure,CWE-219;CWE-552,7
http/exposures/configs/pipfile-config.yaml,pipfile-config,Pipfile Config - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/platformio-ini.yaml,platformio-ini,Platformio Config File Disclosure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/plesk-stat.yaml,plesk-stat,Webalizer Log Analyzer Configuration - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/pre-commit-config.yaml,pre-commit-config,Pre-commit Configuration File - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/prettier-ignore-disclosure.yaml,prettier-ignore-disclosure,Prettier - Ignore File Disclosure,exposure,CWE-219;CWE-552,7
http/exposures/configs/procfile-config.yaml,procfile-config,Procfile Config - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/proftpd-config.yaml,proftpd-config,ProFTPD Configuration File - Detect,exposure,CWE-219;CWE-552,7
http/exposures/configs/protractor-config.yaml,protractor-config,Protractor Configuration Exposure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/proxy-wpad-exposure.yaml,proxy-wpad-exposure,Web Proxy Auto-Discovery Configuration File - Detect,exposure,CWE-219;CWE-538,7
http/exposures/configs/psalm-config.yaml,psalm-config,Psalm Configuration Exposure - Detect,exposure,CWE-219;CWE-538,7
http/exposures/configs/pubspec-config.yaml,pubspec-config,Pubspec YAML Configuration File - Detect,exposure,CWE-219;CWE-552,7
http/exposures/configs/pyproject-toml.yaml,pyproject-toml,pyproject.toml Configuration - Detect,exposure,CWE-219;CWE-552,7
http/exposures/configs/python-setup-config.yaml,python-setup-config,Python Setup Configuration - Exposure,exposure,CWE-219;CWE-552,7
http/exposures/configs/qdpm-info-leak.yaml,qdpm-info-leak,qdPM 9.2 - DB Credentials Exposure,exposure,CWE-219;CWE-260,7
http/exposures/configs/rackup-config-ru.yaml,rackup-config-ru,Rackup Configuration - Detect,exposure,CWE-219;CWE-552,7
http/exposures/configs/rails-database-config.yaml,rails-database-config,Ruby on Rails Database Configuration File - Detect,exposure,CWE-260;CWE-538;CWE-552,7
http/exposures/configs/rakefile-disclosure.yaml,rakefile-disclosure,Rakefile - File Disclosure,exposure,CWE-219;CWE-552,7
http/exposures/configs/redis-config.yaml,redis-config,Redis Configuration File - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/rexify-config-exposure.yaml,rexify-config-exposure,Rexify Configuration - Exposure,exposure,CWE-219;CWE-260,7
http/exposures/configs/robomongo-credential.yaml,robomongo-credential,RoboMongo Credential - Exposure,exposure,CWE-256;CWE-260;CWE-538,7
http/exposures/configs/rollup-js-config.yaml,rollup-js-config,Rollup.js Configuration - Detect,exposure,CWE-219;CWE-552,7
http/exposures/configs/rubocop-config.yaml,rubocop-config,Rubocop Configuration - Detect,exposure,CWE-219;CWE-552;CWE-922,7
http/exposures/configs/ruijie-information-disclosure.yaml,ruijie-information-disclosure,Ruijie Login Panel - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/ruijie-nbr1300g-exposure.yaml,ruijie-nbr1300g-exposure,Ruijie NBR1300G Cli Password Leak - Detect,exposure,CWE-259;CWE-312,7
http/exposures/configs/s3cfg-config.yaml,s3cfg-config,S3CFG Configuration - Detect,exposure,CWE-219;CWE-260;CWE-552,7
http/exposures/configs/s3cmd-config.yaml,s3cmd-config,S3CMD Configuration - Detect,exposure,CWE-219;CWE-260;CWE-538,7
http/exposures/configs/samba-config.yaml,samba-config,Samba Config - Detect,exposure,CWE-219;CWE-552,7
http/exposures/configs/scrutinizer-config.yaml,scrutinizer-config,Scrutinizer Config - Detect,exposure,CWE-219;CWE-552,7
http/exposures/configs/sftp-credentials-exposure.yaml,sftp-credentials-exposure,SFTP Configuration File - Credentials Exposure,exposure,CWE-219;CWE-260;CWE-312,7
http/exposures/configs/sftp-deployment-config.yaml,sftp-deployment-config,Atom SFTP Configuration File - Detect,exposure,CWE-260;CWE-312;CWE-552,7
http/exposures/configs/smtp-credentials-exposure.yaml,smtp-credentials-exposure,SMTP Credentials Exposure - Detection,exposure,CWE-260;CWE-312,7
http/exposures/configs/sphinxsearch-config.yaml,sphinxsearch-config,Sphinx Search Config - Exposure,exposure,CWE-219;CWE-256;CWE-260,7
http/exposures/configs/stestr-config.yaml,stestr-config,Stestr Configuration File - Detect,exposure,CWE-219;CWE-260;CWE-552,7
http/exposures/configs/svnserve-config.yaml,svnserve-config,Svnserve Configuration File - Detect,exposure,CWE-219;CWE-552,7
http/exposures/configs/symfony-database-config.yaml,symfony-database-config,Symfony Database Configuration File - Detect,exposure,CWE-219;CWE-260;CWE-538,7
http/exposures/configs/symfony-lock-exposure.yaml,symfony-lock-exposure,Symfony Lock File - Exposure,exposure,CWE-219;CWE-538,7
http/exposures/configs/symfony-security-config.yaml,symfony-security-config,Symfony Security Configuration File - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/tox-ini.yaml,tox-ini,Tox Configuration File - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/ventrilo-config.yaml,ventrilo-config,Ventrilo Configuration File - Detect,exposure,CWE-260;CWE-538;CWE-552,7
http/exposures/configs/vite-config.yaml,vite-config,Vite Configuration - File Exposure,exposure,CWE-219;CWE-552,7
http/exposures/configs/webpack-config.yaml,webpack-config,Webpack Configuration File - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/configs/websheets-config.yaml,websheets-config,Websheets Configuration File - Detect,exposure,CWE-260;CWE-312;CWE-538,7
http/exposures/configs/wgetrc-config.yaml,wgetrc-config,Wgetrc Configuration File - Detect,exposure,CWE-219;CWE-552,7
http/exposures/configs/wordpress-wp-env-exposure.yaml,wordpress-wp-env-exposure,WordPress Configuration wp-env - Exposure,exposure,CWE-219;CWE-538,7
http/exposures/configs/zend-config-file.yaml,zend-config-file,Zend Configuration File,exposure,CWE-260;CWE-312;CWE-538,7
http/exposures/configs/zipkin-config-exposure.yaml,zipkin-config-exposure,Zipkin Configuration - Exposure,exposure,CWE-219;CWE-538,7
http/exposures/files/angular-json.yaml,angular-json,Angular JSON File Exposure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/apdisk-disclosure.yaml,apdisk-disclosure,Apdisk - File Disclosure,exposure,CWE-219;CWE-552,7
http/exposures/files/appsettings-file-disclosure.yaml,appsettings-file-disclosure,Application Setting file disclosure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/aspnet-launchsettings-exposure.yaml,aspnet-launchsettings-exposure,ASP.NET Launch Settings - Exposure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/atom-sync-remote.yaml,atom-sync-remote,Atom Synchronization Exposure,exposure,CWE-260;CWE-538;CWE-922,7
http/exposures/files/auth-json.yaml,auth-json,Auth.json File - Disclosure,exposure,CWE-219;CWE-260;CWE-312,7
http/exposures/files/aws-buildspec-exposure.yaml,aws-buildspec-exposure,AWS CodeBuild Build Spec - Exposure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/azure-pipelines-exposed.yaml,azure-pipelines-exposed,Azure Pipelines Configuration File Disclosure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/azuredeploy-json.yaml,azuredeploy-json,Azure Resource Manager Template - File Exposure,exposure,CWE-538;CWE-922,7
http/exposures/files/bitbucket-oauth-exposure.yaml,bitbucket-oauth-exposure,Bitbucket OAuth Credentials Exposure,exposure,CWE-522;CWE-552,7
http/exposures/files/bitbucket-pipelines.yaml,bitbucket-pipelines,BitBucket Pipelines Configuration Exposure,exposure,CWE-219;CWE-538,7
http/exposures/files/bower-json.yaml,bower-json,bower.json File Disclosure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/build-properties.yaml,build-properties,Build Properties File Exposure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/bun-lock.yaml,bun-lock,Bun Lock File Disclosure,exposure,CWE-219;CWE-552,7
http/exposures/files/cargo-lock-package.yaml,cargo-lock-package,Cargo Lock Packages Disclosure,exposure,CWE-219;CWE-538;CWE-552,7
http/exposures/files/cargo-toml-file.yaml,cargo-toml-file,Cargo TOML File Disclosure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/cloud-config.yaml,cloud-config,Cloud Config File Exposure,exposure,CWE-219;CWE-538;CWE-922,7
http/exposures/files/composer-auth-json.yaml,composer-auth-json,Composer-auth Json File Disclosure,exposure,CWE-219;CWE-260;CWE-538,7
http/exposures/files/core-dump.yaml,core-dump,Exposed Core Dump - File Disclosure,exposure,CWE-219;CWE-538,7
http/exposures/files/credentials-json.yaml,credentials-json,Credentials File Disclosure,exposure,CWE-260;CWE-538;CWE-922,7
http/exposures/files/database-credentials.yaml,database-credentials,Database Credentials File Exposure,exposure,CWE-260;CWE-538;CWE-541,7
http/exposures/files/desktop-ini-exposure.yaml,desktop-ini-exposure,desktop.ini exposure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/django-secret-key.yaml,django-secret-key,Django Secret Key Exposure,exposure,CWE-219;CWE-312,7
http/exposures/files/dnsmasq-config.yaml,dnsmasq-config,Dnsmasq Config - File Disclosure,exposure,CWE-219;CWE-538,7
http/exposures/files/docker-cloud.yaml,docker-cloud,Docker Cloud Yaml - File Disclosure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/dot-credentials-exposure.yaml,dot-credentials-exposure,Dot Credentials - Exposure,exposure,CWE-219;CWE-260;CWE-538,7
http/exposures/files/ds-store-file.yaml,ds-store-file,DS_Store File - Exposed,exposure,CWE-219;CWE-552,7
http/exposures/files/dwsync-exposure.yaml,dwsync-exposure,Dreamweaver Dwsync.xml Exposure,exposure,CWE-219;CWE-552,7
http/exposures/files/eclipse-project-exposure.yaml,eclipse-project-exposure,Eclipse .project Configuration - Exposure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/elastic-kibana-config.yaml,elastic-kibana-config,Elastic Kibana Config - File Disclosure,exposure,CWE-219;CWE-260,7
http/exposures/files/environment-rb.yaml,environment-rb,Environment Ruby File Disclosure,exposure,CWE-219;CWE-552,7
http/exposures/files/exposed-alps-spring.yaml,exposed-alps-spring,Exposed Spring Data REST Application-Level Profile Semantics (ALPS),exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/exposed-pki-cert.yaml,exposed-pki-cert,Exposed Internal PKI Infrastructure - Detect,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/ftpconfig.yaml,ftpconfig,Atom remote-ssh ftpconfig Exposure,exposure,CWE-219;CWE-256;CWE-260,7
http/exposures/files/gcloud-access-token.yaml,gcloud-access-token,Google Cloud Access Token,exposure,CWE-219;CWE-538;CWE-922,7
http/exposures/files/gcloud-credentials.yaml,gcloud-credentials,Google Cloud Credentials,exposure,CWE-219;CWE-538;CWE-922,7
http/exposures/files/generic-db.yaml,generic-db,Generic Database File - Exposure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/get-access-token-json.yaml,get-access-token-json,Get Access Token Json,exposure,CWE-538;CWE-922,7
http/exposures/files/git-mailmap.yaml,git-mailmap,Git Mailmap File Disclosure,exposure,CWE-219;CWE-359;CWE-552,7
http/exposures/files/github-page-config.yaml,github-page-config,Github pages config file,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/gitlab-ci-yml.yaml,gitlab-ci-yml,GitLab CI YAML - Exposure,exposure,CWE-260;CWE-538,7
http/exposures/files/gitpod-dockerfile-exposure.yaml,gitpod-dockerfile-exposure,Gitpod Dockerfile - Exposure,exposure,CWE-219;CWE-922,7
http/exposures/files/go-mod-disclosure.yaml,go-mod-disclosure,Go.mod Disclosure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/gradle-libs.yaml,gradle-libs,Gradle Library Version Disclosure,exposure,CWE-219;CWE-538,7
http/exposures/files/gunicorn-config-file.yaml,gunicorn-config-file,Gunicorn Config File - File Disclosure,exposure,CWE-219;CWE-552,7
http/exposures/files/haproxy-config-file.yaml,haproxy-config-file,Haproxy Config - File Disclosure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/icecast-config.yaml,icecast-config,Icecast Config - File Disclosure,exposure,CWE-219;CWE-538,7
http/exposures/files/iceflow-vpn-disclosure.yaml,iceflow-vpn-disclosure,ICEFlow VPN Disclosure,exposure,CWE-219;CWE-538,7
http/exposures/files/ioncube-loader-wizard.yaml,ioncube-loader-wizard,ioncube Loader Wizard Disclosure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/javascript-env.yaml,javascript-env,JavaScript Environment Configuration - Detect,exposure,CWE-200;CWE-219;CWE-552;CWE-798,7
http/exposures/files/joe-deadjoe-file-exposure.yaml,joe-deadjoe-file-exposure,Joe Editor DEADJOE File - Exposure,exposure,CWE-219;CWE-538,7
http/exposures/files/jolokia-config-exposure.yaml,jolokia-config-exposure,Jolokia Configuration - Exposure,exposure,CWE-260;CWE-538,7
http/exposures/files/kubernetes-etcd-keys.yaml,kubernetes-etcd-keys,Kubernetes etcd Keys - Exposure,exposure,CWE-538;CWE-922,7
http/exposures/files/lighttpd-config-file.yaml,lighttpd-config-file,Lighttpd Config File - File Disclosure,exposure,CWE-219;CWE-552,7
http/exposures/files/log4-properties.yaml,log4-properties,Log4j Properties - File Disclosure,exposure,CWE-219;CWE-552,7
http/exposures/files/next-js-config-file.yaml,next-js-config-file,Next JS Config - File Disclosure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/npm-anonymous-cli.yaml,npm-anonymous-cli,NPM Anonymous CLI Metrics Exposure,exposure,CWE-219;CWE-538;CWE-552,7
http/exposures/files/npm-shrinkwrap-exposure.yaml,npm-shrinkwrap-exposure,Node Shrinkwrap Exposure,exposure,CWE-200;CWE-219;CWE-552,7
http/exposures/files/npmrc-authtoken.yaml,npmrc-authtoken,Hardcoded .npmrc AuthToken,exposure,CWE-219;CWE-260;CWE-522,7
http/exposures/files/nuget-package-config.yaml,nuget-package-config,NuGet Package.config File Disclosure,exposure,CWE-219;CWE-552,7
http/exposures/files/nuxtjs-config-file.yaml,nuxtjs-config-file,Nuxtjs Config File - File Disclosure,exposure,CWE-219;CWE-552,7
http/exposures/files/oauth-credentials-json.yaml,oauth-credentials-json,Oauth Credentials Json,exposure,CWE-260;CWE-538,7
http/exposures/files/openstack-user-secrets.yaml,openstack-user-secrets,OpenStack User Secrets Exposure,exposure,CWE-219;CWE-260,7
http/exposures/files/pantheon-upstream.yaml,pantheon-upstream,Pantheon upstream.yml Disclosure,exposure,CWE-219;CWE-538;CWE-552,7
http/exposures/files/pear-registry-exposed.yaml,pear-registry-exposed,PEAR Registry Files Exposed,exposure,CWE-219;CWE-552,7
